"comprimento_bico" "profundidade_bico" "comprimento_nadadeira" "massa_corporal" "sexo"
39.1 18.7 181 3750 1
39.5 17.4 186 3800 2
40.3 18 195 3250 2
36.7 19.3 193 3450 2
39.3 20.6 190 3650 1
38.9 17.8 181 3625 2
39.2 19.6 195 4675 1
41.1 17.6 182 3200 2
38.6 21.2 191 3800 1
34.6 21.1 198 4400 1
36.6 17.8 185 3700 2
38.7 19 195 3450 2
42.5 20.7 197 4500 1
34.4 18.4 184 3325 2
46 21.5 194 4200 1
37.8 18.3 174 3400 2
37.7 18.7 180 3600 1
35.9 19.2 189 3800 2
38.2 18.1 185 3950 1
35.9 16.6 190 3050 2
41.8 19.4 198 4450 1
33.5 19 190 3600 2
39.7 18.4 190 3900 1
39.6 17.2 196 3550 2
45.8 18.9 197 4150 1
35.5 17.5 190 3700 2
42.8 18.5 195 4250 1
40.9 16.8 191 3700 2
37.2 19.4 184 3900 1
36.2 16.1 187 3550 2
42.1 19.1 195 4000 1
34.6 17.2 189 3200 2
42.9 17.6 196 4700 1
36.7 18.8 187 3800 2
35.1 19.4 193 4200 1
38.6 17 188 2900 2
37.3 20.5 199 3775 1
35.7 17 189 3350 2
41.1 18.6 189 3325 1
36.2 17.2 187 3150 2
37.7 19.8 198 3500 1
40.2 17 176 3450 2
41.4 18.5 202 3875 1
35.2 15.9 186 3050 2
40.6 19 199 4000 1
38.8 17.6 191 3275 2
41.5 18.3 195 4300 1
39 17.1 191 3050 2
44.1 18 210 4000 1
38.5 17.9 190 3325 2
43.1 19.2 197 3500 1
