pai filho
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Não
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Não Sim
Sim Não
Sim Não
Sim Não
Sim Não
Sim Não
Sim Não
Sim Sim
Sim Sim
Sim Sim
Sim Sim
Sim Sim
Sim Sim
Sim Sim
Sim Sim
Sim Sim
Sim Sim
Sim Sim
