ID	Type	Illumination	Consumption	Temperature	Hour	NumWorkers
1	F	366,4	61,5	22	1	10
2	F	936,7	104,3	16	17	7
3	L	242,2	40	25	22	9
4	L	528,9	70,5	26	13	8
5	L	565,1	72,4	20	22	1
6	L	532,7	79,7	29	6	7
7	F	736,3	97,6	26	12	4
8	F	805,5	97,7	16	9	4
9	L	929,3	119,5	30	1	7
10	F	856	99,5	18	24	2
11	F	274,9	42	16	22	9
12	F	342,3	54,3	19	1	5
13	F	713,8	90,9	26	10	3
14	L	899,4	106,3	19	13	10
15	F	673,9	82,8	19	19	4
16	F	409,9	59,7	15	8	1
17	L	907	105,7	19	12	1
18	L	350,2	51,1	25	11	8
19	L	591,1	75,4	16	16	3
20	F	207,9	35	16	11	8
21	L	488,3	64,3	21	21	2
22	L	553,7	77	22	6	2
23	L	300,6	45,7	24	24	6
24	F	699,5	90,7	26	8	4
25	F	441,9	61	16	21	7
26	F	391,7	59,3	21	7	4
27	F	486,9	74,2	30	3	9
28	F	914,3	112,7	27	10	4
29	F	992,5	115,8	18	1	5
30	L	785,9	95,6	22	5	2
31	L	994,2	115,5	15	5	9
32	L	631,8	85,9	19	4	10
33	F	547	73,9	22	11	7
34	L	971,7	118,7	26	9	4
35	F	318,7	57,1	30	2	6
36	L	253,2	42,3	20	11	5
37	F	219,4	41,6	29	10	3
38	L	689,9	98,4	29	2	3
39	L	757,3	98,5	28	2	2
40	L	840,9	102,1	22	12	2
41	L	310,2	49,7	27	6	1
42	L	327,8	53	27	14	5
43	L	991,1	119,3	25	9	7
44	F	518,9	72	24	7	4
45	F	350,3	47,7	20	19	10
46	F	582,2	78,3	15	5	7
47	L	635,4	81,7	16	17	8
48	F	462,5	63,8	16	9	10
49	F	999,9	110,9	15	22	5
50	L	622,2	81,2	20	12	4
51	F	307	44,3	17	22	9
52	F	550,8	73,8	24	13	6
53	F	696,6	88	16	12	6
54	F	362,3	50,7	15	3	7
55	L	307,3	46,6	17	8	5
56	F	821,5	103,8	27	2	1
57	F	708,8	89,8	27	23	8
58	F	425,7	54,5	19	22	6
59	L	353	51,1	18	9	9
60	L	412,4	58,5	18	16	8
61	L	624,6	80	16	7	6
62	L	747,9	89,8	16	5	7
63	F	506,6	65,7	17	23	10
64	F	964	108,1	16	7	10
65	F	294,7	45,4	16	7	9
66	F	231,3	43,7	23	12	1
67	F	603,6	80,1	27	12	4
68	F	662,8	88,3	25	2	7
69	F	871,4	98	16	20	9
70	L	723,6	87,6	15	20	6
71	F	955,6	109,1	22	19	7
72	F	609,3	77	17	9	8
73	F	267,9	45,3	26	20	4
74	L	995,8	121,1	26	8	4
75	F	521,2	73,9	28	3	7
76	L	916,5	110,9	20	22	9
77	F	901,5	108,1	30	21	9
78	F	437,2	65	30	21	1
79	F	306,1	40,1	16	13	10
80	F	412,7	62,1	28	16	1
81	L	204,6	43,6	27	7	8
82	F	855,7	104,4	26	10	1
83	F	339,7	51,1	19	19	9
84	F	874,5	109	23	3	9
85	F	333,4	53,2	21	13	9
86	F	811,2	98,2	24	16	8
87	F	615,2	80,3	29	19	10
88	F	418,1	55	19	14	9
89	F	474,6	62,5	19	19	4
90	L	764,1	94,7	26	10	10
91	L	673,2	91,3	26	2	5
92	F	575,5	79	29	16	6
93	L	469,1	70,1	22	11	2
94	L	974,3	115,3	28	19	3
95	L	716,7	89,2	20	24	1
