Id Salario Be In Exp Genero
5 2860 0 2150 S 0
8 2302 0 1785 S 0
9 2412 1 1870 S 0
10 3848 1 2954 S 0
11 2120 1 1672 S 0
12 2112 1 1641 S 0
14 2560 0 2013 S 0
15 1536 1 1110 J 0
16 1449 1 1063 J 0
17 2020 1 1546 S 0
19 2587 0 2023 S 0
20 1988 1 1515 S 0
21 2112 1 1654 S 0
23 3048 0 2377 S 0
24 2540 0 1983 S 0
26 2016 1 1537 J 0
27 1636 1 1201 J 0
28 700 0 572 J 0
29 3011 1 2361 S 0
30 1781 1 1365 S 0
31 2142 0 1692 S 1
32 2457 0 1962 S 0
34 878 1 627 J 1
35 2919 0 2193 S 0
37 1780 1 1360 S 0
38 650 1 441 J 1
39 1775 1 1358 J 1
40 1543 1 1114 S 0
41 1721 1 1305 J 0
42 1241 1 968 S 0
50 1271 1 1016 J 0
54 2887 1 2159 S 0
55 1594 0 1148 S 1
56 651 1 540 S 1
57 2845 0 2096 S 0
59 650 0 537 J 1
60 951 0 642 J 0
61 1437 0 1060 S 0
62 1125 1 701 J 0
63 1137 1 788 J 0
64 1127 0 762 S 0
65 914 0 631 J 0
66 1162 0 871 S 0
67 1731 1 1308 S 0
84 2717 1 2075 S 0
85 2486 0 1968 S 1
86 2289 0 1769 S 1
87 1656 1 1204 J 0
88 2327 1 1860 S 0
91 3223 1 2546 S 1
92 1867 1 1443 S 0
93 2235 1 1724 J 1
94 2974 1 2277 S 0
95 2234 1 1719 S 1
96 2050 1 1588 S 1
97 2047 1 1584 S 0
98 1289 1 1020 J 0
99 1822 0 1422 J 0
100 2151 1 1706 S 0
101 2415 0 1893 S 0
102 3784 0 2865 S 0
103 1385 0 1058 J 0
104 1937 0 1494 J 0
105 3148 1 2413 S 0
107 2229 1 1713 S 1
108 1870 1 1454 S 1
742 1966 1 1504 J 0
747 2441 0 1921 S 0
748 2418 1 1919 S 0
749 2046 1 1568 S 0
750 2141 1 1687 S 1
751 2104 0 1617 J 0
752 2187 1 1708 S 1
753 2126 1 1685 S 0
754 1249 0 985 J 0
755 1884 0 1462 J 0
758 1180 0 906 J 0
759 2407 1 1869 S 0
761 2288 1 1753 S 0
764 1897 1 1468 S 0
766 1318 1 1035 J 0
767 1883 1 1456 J 1
769 1788 1 1389 J 1
770 2257 1 1735 J 1
772 920 1 637 J 0
773 1587 1 1138 J 0
775 1020 1 666 J 1
777 2543 0 1984 S 1
781 2445 0 1938 S 0
783 1385 0 1058 S 0
784 1496 1 1089 J 1
786 3270 0 2651 S 0
788 1248 0 973 J 0
790 2269 1 1740 J 1
791 1336 1 1041 J 0
792 737 1 598 J 0
794 766 0 601 J 1
795 1904 0 1481 S 1
798 1701 0 1254 S 1
800 1190 1 943 S 0
801 1659 1 1243 J 1
802 2027 1 1562 S 1
803 1452 1 1068 J 0
804 1488 1 1083 S 0
805 2653 1 2030 S 0
806 1964 0 1501 J 0
807 2813 1 2086 S 0
808 2029 1 1565 S 0
810 1781 0 1375 S 0
811 1705 0 1277 J 1
812 1515 1 1110 S 0
814 1608 1 1172 S 0
815 1834 1 1423 S 0
818 1471 1 1070 J 0
