name	sugars	shelf	client
100% Bran	6	3	A
100% Natural Bran	8	3	A
All-Bran	5	3	A
All-Bran with Extra Fiber	0	3	A
Almond Delight	8	3	A
Apple Cinnamon Cheerios	10	1	A
Apple Jacks	14	2	A
Basic 4	8	3	A
Bran Chex	6	1	A
Bran Flakes	5	3	A
Cap'n'Crunch	12	2	I
Cheerios	1	1	I
Cinnamon Toast Crunch	9	2	I
Clusters	7	3	I
Cocoa Puffs	13	2	I
Corn Chex	3	1	A
Corn Flakes	2	1	A
Corn Pops	12	2	I
Count Chocula	13	2	I
Cracklin' Oat Bran	7	3	A
Cream of Wheat (Quick)	0	2	I
Crispix	3	3	I
Crispy Wheat & Raisins	10	3	A
Double Chex	5	3	I
Froot Loops	13	2	I
Frosted Flakes	11	1	I
Frosted Mini-Wheats	7	2	I
"Fruit & Fibre Dates; Walnuts; and Oats"	10	3	A
Fruitful Bran	12	3	A
Fruity Pebbles	12	2	A
Golden Crisp	15	1	I
Golden Grahams	9	2	I
Grape Nuts Flakes	5	3	A
Grape-Nuts	3	3	A
Great Grains Pecan	4	3	A
Honey Graham Ohs	11	2	I
Honey Nut Cheerios	10	1	I
Honey-comb	11	1	A
Just Right Crunchy  Nuggets	6	3	A
Just Right Fruit & Nut	9	3	A
Kix	3	2	I
Life	6	2	A
Lucky Charms	12	2	A
Maypo	3	2	I
"Muesli Raisins; Dates; & Almonds"	11	3	A
"Muesli Raisins; Peaches; & Pecans"	11	3	A
Mueslix Crispy Blend	13	3	A
Multi-Grain Cheerios	6	1	A
Nut&Honey Crunch	9	2	A
Nutri-Grain Almond-Raisin	7	3	A
Nutri-grain Wheat	2	3	A
Oatmeal Raisin Crisp	10	3	A
Post Nat, Raisin Bran	14	3	A
Product 19	3	3	A
Puffed Rice	0	3	A
Puffed Wheat	0	3	A
Quaker Oat Squares	6	3	A
Quaker Oatmeal	1	1	A
Raisin Bran	12	2	I
Raisin Nut Bran	8	3	I
Raisin Squares	6	3	I
Rice Chex	2	1	A
Rice Krispies	3	1	I
Shredded Wheat	0	1	A
Shredded Wheat 'n'Bran	0	1	A
Shredded Wheat spoon size	0	1	A
Smacks	15	2	I
Special K	3	1	A
Strawberry Fruit Wheats	5	2	A
Total Corn Flakes	3	3	A
Total Raisin Bran	14	3	A
Total Whole Grain	3	3	A
Triples	3	3	A
Trix	12	2	I
Wheat Chex	3	1	A
Wheaties	3	1	A
Wheaties Honey Gold	8	1	A
